"HDI.Rank","Country","HDI","Life.Exp","Edu.Exp","Edu.Mean","GNI","GNI.Minus.Rank","GII.Rank","GII","Mat.Mor","Ado.Birth","Parli.F","Edu2.F","Edu2.M","Labo.F","Labo.M","Edu2.FM","Labo.FM"
179,"Mali",0.419,58,8.4,2,"1,583",-8,179,0.677,550,175.6,9.5,7.7,15.1,50.8,81.4,0.509933774834437,0.624078624078624
180,"Mozambique",0.416,55.1,9.3,3.2,"1,123",1,180,0.591,480,137.8,39.6,1.4,6.2,85.5,82.8,0.225806451612903,1.03260869565217
181,"Sierra Leone",0.413,50.9,8.6,3.1,"1,780",-16,181,0.65,1100,100.7,12.4,10,21.7,65.7,69,0.460829493087558,0.952173913043478
182,"Guinea",0.411,58.8,8.7,2.4,"1,096",0,182,NA,650,131,21.9,NA,NA,65.6,78.3,NA,0.837803320561941
183,"Burkina Faso",0.402,58.7,7.8,1.4,"1,591",-13,183,0.631,400,115.4,13.3,0.9,3.2,77.1,90,0.28125,0.856666666666667
184,"Burundi",0.4,56.7,10.1,2.7,"758",1,184,0.492,740,30.3,34.9,5.3,8.3,83.3,82,0.63855421686747,1.01585365853659
185,"Chad",0.392,51.6,7.4,1.9,"2,085",-22,185,0.706,980,152,14.9,1.7,9.9,64,79.2,0.171717171717172,0.808080808080808
186,"Eritrea",0.391,63.7,4.1,3.9,"1,130",-6,186,NA,380,65.3,22,NA,NA,80,89.8,NA,0.89086859688196
187,"Central African Republic",0.35,50.7,7.2,4.2,"581",1,187,0.655,880,98.3,12.5,10.1,26.7,72.6,85.1,0.378277153558052,0.853113983548766
188,"Niger",0.348,61.4,5.4,1.5,"908",-5,188,0.713,630,204.8,13.3,2.4,7.8,40,89.7,0.307692307692308,0.445930880713489
NA,"Arab States",0.686,70.6,12,6.4,"15,722",NA,NA,0.537,155,45.4,14,34.7,47.6,23.2,75.3,0.728991596638656,0.308100929614874
NA,"East Asia and the Pacific",0.71,74,12.7,7.5,"11,449",NA,NA,0.328,72,21.2,18.7,54.7,66.3,62.6,79.4,0.825037707390649,0.788413098236776
NA,"Europe and Central Asia",0.748,72.3,13.6,10,"12,791",NA,NA,0.3,28,30.8,19,70.8,80.6,45.6,70,0.878411910669975,0.651428571428571
NA,"Latin America and the Caribbean",0.748,75,14,8.2,"14,242",NA,NA,0.415,85,68.3,27,54.3,55.2,53.7,79.8,0.983695652173913,0.672932330827068
NA,"South Asia",0.607,68.4,11.2,5.5,"5,605",NA,NA,0.536,183,38.7,17.5,29.1,54.6,29.8,80.3,0.532967032967033,0.371108343711083
NA,"Sub-Saharan Africa",0.518,58.5,9.6,5.2,"3,363",NA,NA,0.575,506,109.7,22.5,22.1,31.5,65.4,76.6,0.701587301587302,0.85378590078329
NA,"World",0.711,71.5,12.2,7.9,"14,301",NA,NA,0.449,210,47.4,21.8,54.5,65.4,50.3,76.7,0.833333333333333,0.655801825293351
